AccessionNumber_TBDSven;Sample;Associatednumber;DNA_concentration_ng.uL;Station;StationNumber;Stromkilometer;Sample_type;Sample_date;Sat_O2_TBDHereon;Temperature_TBDHereon;Salinity_TBDHereon;Turbidity_TBDHereon;pH_TBDHereon;O2_TBDHereon;SPM_mgperL;DOC_mg.L;TN_mg.L;DIC_mg.L;Silicate_mg.L;Ammonium_mg.L;Nitrite_mg.L;Nitrate_mg.L;Total_DIN_µM;SRP_mgperL;TotalDissolvedPhosphate_mg.L;Ammonium_µM;Nitrite_µM;Nitrate_µM;SRP_µM;Phosphate_µM;Silicate_µM;DOC_uM.L;DIC_uM.L;RespirationRate_O2ug.L.h;POC_mgperL;PTC_mgperL;PTN_mgperL;PTH_mgperL;BioSample;ERANumber
SAMEA110290294;SchH1;47;112;Schwarztonnensand;4;665,41;Heavy_fraction;Jul 21;63,44;22,75;0,48;33.2;7,69;170,12;55;4,55;0,7296;13,44;;0,026;0,006;2,317;170,52;0,093;0,111125;0,372;0,122;170,026;NA;2,804;114,43;3,788,288,776;1,119,002,223;;2,435,087,696;4,312,461,758;334,039,046;19,637,804;SAMEA110290294;ERS12387902
SAMEA110290295;SchH2;48;38;Schwarztonnensand;4;665,41;Heavy_fraction;Jul 21;63,44;22,75;0,48;33.2;7,69;170,12;55;4,498;0,6619;14,04;;0,023;0,006;1,429;170,52;0,09;0,09477;0,372;0,122;170,026;NA;2,804;114,43;3,744,994,047;1,168,957,679;;3,209,799,064;5,025,314,044;3,081,171,448;206,196,942;SAMEA110290295;ERS12387903
SAMEA110290296;SchF1;49;5,5;Schwarztonnensand;4;665,41;Free_living;Jul 21;63,44;22,75;0,48;33.2;7,69;170,12;NA;4,55;0,7296;13,44;;0,026;0,006;2,317;170,52;0,093;0,111125;0,372;0,122;170,026;NA;2,804;114,43;3,788,288,776;1,119,002,223;;;;;;SAMEA110290296;ERS12387904
SAMEA110290297;SchF2;50;4,56;Schwarztonnensand;4;665,41;Free_living;Jul 21;63,44;22,75;0,48;33.2;7,69;170,12;NA;4,498;0,6619;14,04;;0,023;0,006;1,429;170,52;0,09;0,09477;0,372;0,122;170,026;NA;2,804;114,43;3,744,994,047;1,168,957,679;;;;;;SAMEA110290297;ERS12387905
SAMEA110290298;MGL1;51;11;Meedem Grund;6;714,98;Light_fraction;Jul 21;75,97;21,67;5,02;21.69;7,91;202,39;26,75;3,234;0,5336;14,41;;0,01;0,004;0,898;144,33;0,055;0,082876;1,145;0,713;142,47;NA;3,701;77,02;2,692,599,099;1,199,763,544;;1,911,740,219;2,167,031,671;3,121,428,946;166,921,334;SAMEA110290298;ERS12387906
SAMEA110290299;MGL2;52;15;Meedem Grund;6;714,98;Light_fraction;Jul 21;75,97;21,67;5,02;21.69;7,91;202,39;26,75;4,088;0,6147;16,75;;0,012;0,01;1,433;144,33;0,062;0,078424;1,145;0,713;142,47;NA;3,701;77,02;3,403,631,762;1,394,589,824;;221,023,484;319,016,126;2,086,516,675;14,728,353;SAMEA110290299;ERS12387907
SAMEA110290300;MGH1;53;134;Meedem Grund;6;714,98;Heavy_fraction;Jul 21;75,97;21,67;5,02;21.69;7,91;202,39;34;3,234;0,5336;14,41;;0,01;0,004;0,898;144,33;0,055;0,082876;1,145;0,713;142,47;NA;3,701;77,02;2,692,599,099;1,199,763,544;;3,195,070,711;3,809,733,976;1,946,106,376;14,728,353;SAMEA110290300;ERS12387908
SAMEA110290301;MGH2;54;16;Meedem Grund;6;714,98;Heavy_fraction;Jul 21;75,97;21,67;5,02;21.69;7,91;202,39;34;4,088;0,6147;16,75;;0,012;0,01;1,433;144,33;0,062;0,078424;1,145;0,713;142,47;NA;3,701;77,02;3,403,631,762;1,394,589,824;;2,806,242,192;3,478,836,979;1,787,040,164;137,464,628;SAMEA110290301;ERS12387909
SAMEA110290302;MGF1;55;2,01;Meedem Grund;6;714,98;Free_living;Jul 21;75,97;21,67;5,02;21.69;7,91;202,39;NA;3,234;0,5336;14,41;;0,01;0,004;0,898;144,33;0,055;0,082876;1,145;0,713;142,47;NA;3,701;77,02;2,692,599,099;1,199,763,544;;;;;;SAMEA110290302;ERS12387910
SAMEA110290303;MGF2;56;5,7;Meedem Grund;6;714,98;Free_living;Jul 21;75,97;21,67;5,02;21.69;7,91;202,39;NA;4,088;0,6147;16,75;;0,012;0,01;1,433;144,33;0,062;0,078424;1,145;0,713;142,47;NA;3,701;77,02;3,403,631,762;1,394,589,824;;;;;;SAMEA110290303;ERS12387911
SAMEA110290304;TL1;57;11;Twielenfleth;3;651,32;Light_fraction;Jul 21;57,16;21,97;0,4;26.49;7,58;155,6;31;0,3657;0,00274;13,02;;0,041;0,007;2,178;188,55;0,099;0,107493;0,46;0,29;187,8;NA;3,05;133,25;3,044,785,067;1,084,033,404;;1,712,416,509;2,312,351,421;1,855,772,478;0,88370118;SAMEA110290304;ERS12387912
SAMEA110290305;TL2;58;24;Twielenfleth;3;651,32;Light_fraction;Jul 21;57,16;21,97;0,4;26.49;7,58;155,6;31;6,9;1,173;18,86;;0,046;0,006;2,042;188,55;0,086;0,091807;0,46;0,29;187,8;NA;3,05;133,25;5,744,877,484;1,570,266,512;;1,674,122,791;1,928,432,353;1,715,362,179;0,88370118;SAMEA110290305;ERS12387913
SAMEA110290306;TH1;59;21;Twielenfleth;3;651,32;Heavy_fraction;Jul 21;57,16;21,97;0,4;26.49;7,58;155,6;32;0,3657;0,00274;13,02;;0,041;0,007;2,178;188,55;0,099;0,107493;0,46;0,29;187,8;NA;3,05;133,25;3,044,785,067;1,084,033,404;;2,102,226,918;2,328,061,664;1,514,074,688;108,007,922;SAMEA110290306;ERS12387914
